"Link","Affiliations","Publisher","Abbreviated Source Title"
"https://www.scopus.com/pages/publications/105004008940?origin=resultslist","Department of Finance and AI Research Center, Shanghai University of Finance and Economics Zhejiang College, Zhejiang, Jinhua, 321013, China","World Scientific","Fluctuation Noise Lett."
"https://www.scopus.com/pages/publications/105005027671?origin=resultslist","Faculty of Engineering, Department of Electrical Engineering, Electronics and Telecommunications (DEET), University of Cuenca, Balzay CampusAzuay, Cuenca, 010107, Ecuador; Department of Electrical Engineering, University of Jaen, EPS Linares, Jaen, 23700, Spain","Multidisciplinary Digital Publishing Institute (MDPI)","Appl. Sci."
"https://www.scopus.com/pages/publications/105006811831?origin=resultslist","Shenzhen Power Supply Co., Ltd., Shenzhen, 518103, China; Tsinghua Shenzhen International Graduate School, Tsinghua University, Shenzhen, 518055, China","Multidisciplinary Digital Publishing Institute (MDPI)","Energies"
"https://www.scopus.com/pages/publications/105002366419?origin=resultslist","School of Mechanical Engineering, Shijiazhuang Tiedao University, Shijiazhuang, 050043, China","Institute of Physics","Phys Scr"
"https://www.scopus.com/pages/publications/105011878726?origin=resultslist","School of Architecture and Planning, Hunan University, Changsha, 410012, China; Hunan Key Laboratory of Sciences of Urban and Rural Human Settlements in Hills Areas, Changsha, 410082, China; College of Forestry, Central South University of Forestry and Technology, Changsha, 410018, China","Multidisciplinary Digital Publishing Institute (MDPI)","Land"
"https://www.scopus.com/pages/publications/85215549345?origin=resultslist","Department of Electrical and Electronics Engineering, Alliance School of Applied Engineering, Alliance University, India; Department of Electrical and Electronics Engineering, Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Bengaluru, India","Elsevier Ltd","Electr Power Syst Res"
"https://www.scopus.com/pages/publications/105003574568?origin=resultslist","Beijing Municipal Key Laboratory of Multimedia and Intelligent Software Technology, College of Computer Science, Beijing University of Technology, Beijing, China","Elsevier B.V.","Swarm Evol. Comput."
"https://www.scopus.com/pages/publications/105006937866?origin=resultslist","Department of Information Technology, King Abdullah II School for Information Technology, University of Jordan, Amman, 11942, Jordan; Department of Information Security, Faculty of Information Technology, University of Petra, Amman, 11196, Jordan; Department of Networks and Information Security, Faculty of Information Technology, Al-Ahliyya Amman University, Amman, 19328, Jordan; College of Business Administration, Northern Border University, Arar, 91431, Saudi Arabia","Springer Science and Business Media Deutschland GmbH","Evol. Intelligence"
"https://www.scopus.com/pages/publications/86000765018?origin=resultslist","Department of Economics and Management, North China Electric Power University, Hebei, Baoding, 071003, China; Beijing Key Laboratory of New Energy and Low-Carbon Development, Changping, Beijing, 102206, China; School of Management Science and Information Engineering, Hebei University of Economics and Business, Shijiazhuang, 050000, China","Elsevier Ltd","J. Energy Storage"
"https://www.scopus.com/pages/publications/105006785600?origin=resultslist","Department of Electrical and Computer Engineering, Florida International University, Miami, 33174, FL, United States","Multidisciplinary Digital Publishing Institute (MDPI)","Electronics (Switzerland)"
"https://www.scopus.com/pages/publications/85218094415?origin=resultslist","Department A.B.C., Politecnico di Milano, Milan, Italy; Institute of Industrial Science, The University of Tokyo, Tokyo, Japan","Elsevier Ltd","Compos. Sci. Technol."
"https://www.scopus.com/pages/publications/105009401990?origin=resultslist","Department of Mechanical and Industrial Engineering, Louisiana State University, Baton Rouge, LA, United States; Department of Mechanical and Aerospace Engineering, University at Buffalo (SUNY), Buffalo, NY, United States","John Wiley and Sons Ltd","Optim Control Appl Methods"
"https://www.scopus.com/pages/publications/86000192173?origin=resultslist","Department of Computer Engineering, Maybod Branch, Islamic Azad University, Maybod, Iran; Department of Computer Science, Faculty of Mathematical Sciences, Shahrekord University, Shahrekord, Iran","Springer","Cluster Comput."
"https://www.scopus.com/pages/publications/105014342733?origin=resultslist","Pacific Northwest National Laboratory, Richland, 99354, WA, United States","Multidisciplinary Digital Publishing Institute (MDPI)","Algorithms"
